ASIN,FBA_Cost_USD,NARF_Cost_USD
B07Q3XSSHS,47.82,50.67
B07R99JVXT,16.82,15.89
B07RBFSYN6,16.82,15.89
B07RDQNPJJ,53.47,56.67
B07RDWS2GZ,16.82,15.89
B07RJTQ99V,48.95,51.87
B07RL2TLX7,54.6,57.87
B07RZ9M99J,47.82,50.67
B07S376X32,47.82,50.32
B07S37C51X,25.21,26.51
B07S49F8CY,39.91,42.28
B07S8XXDCG,29.95,27.71
B07SC4D3JM,29.95,27.71
B07SC4DCN3,29.95,27.71
B07SD6THQN,29.95,27.71
B07SD7CWX6,29.95,27.71
B07SD7QN89,29.95,27.71
B07SF75TFV,29.95,27.71
B07SF8MS9S,29.95,27.71
B07TJCLN1X,53.47,56.67
B07TLHFBRZ,54.6,57.87
B07TRQ55RH,53.47,56.67
B07TS5W9R6,53.47,56.67
B07TS5WHBM,54.6,57.87
B07TSBCXWL,45.56,47.94
B07TSBDM2V,25.21,26.51
B07TSBDY26,62.51,66.31
B07TT9BGVK,85.11,89.59
B07TTFT2NJ,22.08,20.70
B07TTFTG92,133.7,141.91
B07TTFTLBL,52.34,55.47
B07TTFV6S4,65.9,69.91
B07TVGG1S5,26.02,24.14
B07TVGH4VW,50.08,53.07
B07TWB6821,48.95,51.87
B07TWK97VF,65.9,69.36
B07TWK9TMB,26.02,24.14
B07TWK9Z9V,50.08,53.07
B07TWSX572,51.21,54.27
B07TXBY9T5,50.08,53.07
B07TXCH88F,50.08,53.07
B07TXN7HKW,62.51,66.31
B07TXN97SD,16.82,15.89
B07TXNB4GZ,62.51,66.31
B07TXWW3QD,53.47,56.67
B07TYHB9NY,50.08,53.07
B07TYKQG1J,52.34,55.47
B07TYL3YZ5,54.6,57.87
B07TYLD26N,39.91,42.44
B07V5WL3TJ,73.81,78.31
B07VBMSSPL,50.08,53.07
B07X2Z973F,53.47,56.67
B07X43FYCC,52.34,55.47
B07X63XHGH,54.6,57.87
B07XBM7YNH,51.21,54.27
B07XCQ47BF,52.34,55.47
B07XDLRBJT,59.12,62.66
B07YLYX5K1,50.08,53.11
B07YYYMPNX,50.08,53.07
B07ZDGXSMX,54.6,57.87
B07ZPD6FYS,65.9,69.91
B07ZZCTPY6,36.52,38.42
B07ZZFVMRZ,38.78,40.80
B07ZZGR25H,41.04,43.18
B07ZZH3NGZ,39.91,41.99
B07ZZLG2QM,29.95,27.71
B07ZZLL363,29.95,27.71
B07ZZM2VJY,29.95,27.71
B07ZZMCD5Z,29.95,27.71
B081S2FG53,52.34,55.47
B081S5S3L1,47.82,50.67
B081S8VWMY,47.82,50.67
B081SL5CN7,54.6,57.87
B081TS7G5V,64.77,68.71
B081Z7XHQ4,48.95,51.87
B081ZGBQR4,56.86,60.26
B08283WHG7,44.43,47.07
B08283YQHJ,44.43,47.07
B082849F3S,47.82,50.67
B082849TF3,44.43,47.07
B082VVT7YF,53.47,56.67
B082VVYQJ6,56.86,60.26
B082VWHKHS,37.65,39.61
B082VWHYMF,54.6,57.87
B082VWL4WL,36.52,38.42
B082VWQ5CW,37.65,39.61
B082VWRZN8,39.91,41.99
B082VWTPM4,46.69,49.47
B082VWWCS4,46.69,49.47
B082VWWF57,36.52,38.42
B082VWZCXP,36.52,38.42
B082VWZQ1B,46.69,49.47
B082VX251R,36.52,38.42
B082VX44WN,39.91,41.99
B082VX62K6,46.69,49.47
B082VX6PTK,46.69,49.47
B082VXX3M3,46.69,49.47
B084KRTJRY,29.95,27.71
B084KXGNPS,29.95,27.71
B084KZ5J5T,29.95,27.71
B084KZNN38,29.95,27.71
B084ZWR3W4,16.85,15.91
B084ZXDTNY,16.85,15.91
B084ZXF6QJ,16.85,15.91
B084ZXJPSB,16.85,15.81
B084ZXTPY6,39.91,42.28
B084ZXVY1C,39.91,42.28
B0857L7ZFM,29.95,27.71
B0857LRC3L,29.95,27.71
B0857LT9PD,29.95,27.71
B085885B8X,29.95,27.71
B08641WHNR,55.73,59.06
